,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
105,10.0,Wed,2022-10-19,21:00,Elche,0.8,0–3,1.5,Real Madrid,30236.0,Estadio Manuel Martínez Valero,Jesús Gil,Match Report,
106,10.0,Thu,2022-10-20,19:00,Almería,1.8,3–2,2.8,Girona,11194.0,Power Horse Stadium,Guillermo Cuadra,Match Report,
107,10.0,Thu,2022-10-20,20:00,Osasuna,1.0,1–0,1.0,Espanyol,17832.0,Estadio El Sadar,Mario Melero,Match Report,
108,10.0,Thu,2022-10-20,21:00,Barcelona,2.1,3–0,0.4,Villarreal,73261.0,Camp Nou,Carlos del Cerro,Match Report,
109,,,,,,,,,,,,,,
110,11.0,Sat,2022-10-22,14:00,Rayo Vallecano,3.7,5–1,0.2,Cádiz,12975.0,Estadio del Rayo Vallecano,Alejandro Muñíz,Match Report,
111,11.0,Sat,2022-10-22,16:15,Valladolid,0.8,1–0,0.9,Real Sociedad,21175.0,Estadio Municipal José Zorrilla,Jorge Figueroa,Match Report,
112,11.0,Sat,2022-10-22,18:30,Valencia,1.2,1–2,1.5,Mallorca,41199.0,Estadio de Mestalla,José Sánchez,Match Report,
113,11.0,Sat,2022-10-22,21:00,Real Madrid,3.0,3–1,0.5,Sevilla,59625.0,Estadio Santiago Bernabéu,Alejandro Hernández,Match Report,
114,11.0,Sun,2022-10-23,14:00,Espanyol,2.2,2–2,0.5,Elche,17560.0,RCDE Stadium,José Luis Munuera,Match Report,
115,11.0,Sun,2022-10-23,16:15,Betis,1.4,1–2,0.8,Atlético Madrid,50179.0,Estadio Benito Villamarín,Jesús Gil,Match Report,
116,11.0,Sun,2022-10-23,18:30,Girona,0.4,1–1,0.6,Osasuna,10032.0,Estadi Municipal de Montilivi,Juan Pulido,Match Report,
117,11.0,Sun,2022-10-23,18:30,Villarreal,1.0,2–1,1.0,Almería,13816.0,Estadio Ciudad de Valencia,Ricardo de Burgos,Match Report,
118,11.0,Sun,2022-10-23,21:00,Barcelona,1.4,4–0,0.5,Athletic Club,84817.0,Camp Nou,Juan Martínez,Match Report,
119,11.0,Mon,2022-10-24,21:00,Celta Vigo,0.7,1–1,0.2,Getafe,9774.0,Estadio de Balaídos,Pablo González,Match Report,
120,,,,,,,,,,,,,,
121,12.0,Fri,2022-10-28,21:00,Mallorca,1.4,1–1,0.3,Espanyol,13982.0,Iberostar Estadi,Isidro Díaz de Mera,Match Report,
122,12.0,Sat,2022-10-29,14:00,Almería,2.3,3–1,0.3,Celta Vigo,11080.0,Power Horse Stadium,Carlos del Cerro,Match Report,
123,12.0,Sat,2022-10-29,16:15,Cádiz,1.1,3–2,1.3,Atlético Madrid,18183.0,Estadio Nuevo Mirandilla,José Sánchez,Match Report,
124,12.0,Sat,2022-10-29,18:30,Sevilla,1.2,0–1,0.7,Rayo Vallecano,36601.0,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,Match Report,
125,12.0,Sat,2022-10-29,21:00,Valencia,0.2,0–1,1.6,Barcelona,46007.0,Estadio de Mestalla,Ricardo de Burgos,Match Report,
126,12.0,Sun,2022-10-30,14:00,Osasuna,2.5,2–0,0.5,Valladolid,19429.0,Estadio El Sadar,Guillermo Cuadra,Match Report,
127,12.0,Sun,2022-10-30,16:15,Real Madrid,2.9,1–1,1.4,Girona,58367.0,Estadio Santiago Bernabéu,Mario Melero,Match Report,
128,12.0,Sun,2022-10-30,18:30,Athletic Club,1.7,1–0,0.3,Villarreal,46081.0,San Mamés,Miguel Ángel Ortiz Arias,Match Report,
129,12.0,Sun,2022-10-30,21:00,Real Sociedad,0.9,0–2,1.3,Betis,32435.0,Reale Arena,Javier Villanueva,Match Report,
130,12.0,Mon,2022-10-31,21:00,Elche,1.3,0–1,0.4,Getafe,19588.0,Estadio Manuel Martínez Valero,César Soto,Match Report,
131,,,,,,,,,,,,,,
132,13.0,Fri,2022-11-04,21:00,Girona,1.0,2–1,0.7,Athletic Club,11420.0,Estadi Municipal de Montilivi,Valentín Pizarro,Match Report,
133,13.0,Sat,2022-11-05,14:00,Getafe,0.6,0–0,1.4,Cádiz,10554.0,Coliseum Alfonso Pérez,Alejandro Hernández,Match Report,
134,13.0,Sat,2022-11-05,16:15,Valladolid,1.9,2–1,0.2,Elche,20176.0,Estadio Municipal José Zorrilla,Ricardo de Burgos,Match Report,
135,13.0,Sat,2022-11-05,18:30,Celta Vigo,0.7,1–2,0.4,Osasuna,14209.0,Estadio de Balaídos,Jorge Figueroa,Match Report,
136,13.0,Sat,2022-11-05,21:00,Barcelona,4.0,2–0,0.5,Almería,92605.0,Camp Nou,Pablo González,Match Report,
137,13.0,Sun,2022-11-06,14:00,Atlético Madrid,1.9,1–1,0.7,Espanyol,50007.0,Estadio Cívitas Metropolitano,Juan Pulido,Match Report,
138,13.0,Sun,2022-11-06,16:15,Real Sociedad,1.1,1–1,0.9,Valencia,32773.0,Reale Arena,José Luis Munuera,Match Report,
139,13.0,Sun,2022-11-06,18:30,Villarreal,0.5,0–2,0.4,Mallorca,16603.0,Estadio Ciudad de Valencia,Alejandro Muñíz,Match Report,
140,13.0,Sun,2022-11-06,21:00,Betis,1.0,1–1,1.5,Sevilla,54034.0,Estadio Benito Villamarín,José Sánchez,Match Report,
141,13.0,Mon,2022-11-07,21:00,Rayo Vallecano,1.5,3–2,2.4,Real Madrid,14216.0,Estadio del Rayo Vallecano,Juan Martínez,Match Report,
142,,,,,,,,,,,,,,
143,14.0,Tue,2022-11-08,19:00,Elche,0.6,1–2,2.3,Girona,17339.0,Estadio Manuel Martínez Valero,Pablo González,Match Report,
144,14.0,Tue,2022-11-08,20:00,Athletic Club,2.1,3–0,0.5,Valladolid,40072.0,San Mamés,Isidro Díaz de Mera,Match Report,
145,14.0,Tue,2022-11-08,21:30,Osasuna,1.0,1–2,0.8,Barcelona,21603.0,Estadio El Sadar,Jesús Gil,Match Report,
146,14.0,Wed,2022-11-09,19:00,Almería,0.5,1–0,0.4,Getafe,11454.0,Power Horse Stadium,Alejandro Muñíz,Match Report,
147,14.0,Wed,2022-11-09,19:00,Sevilla,0.6,1–2,1.7,Real Sociedad,34814.0,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
148,14.0,Wed,2022-11-09,20:00,Espanyol,1.1,0–1,0.7,Villarreal,17400.0,RCDE Stadium,Javier Villanueva,Match Report,
149,14.0,Wed,2022-11-09,21:30,Mallorca,1.3,1–0,1.3,Atlético Madrid,14475.0,Iberostar Estadi,Mario Melero,Match Report,
150,14.0,Thu,2022-11-10,19:00,Rayo Vallecano,0.4,0–0,0.9,Celta Vigo,12419.0,Estadio del Rayo Vallecano,José Luis Munuera,Match Report,
151,14.0,Thu,2022-11-10,20:00,Valencia,2.0,3–0,0.2,Betis,39876.0,Estadio de Mestalla,Miguel Ángel Ortiz Arias,Match Report,
152,14.0,Thu,2022-11-10,21:30,Real Madrid,2.0,2–1,0.9,Cádiz,53190.0,Estadio Santiago Bernabéu,César Soto,Match Report,
153,,,,,,,,,,,,,,
154,15.0,Thu,2022-12-29,17:00,Girona,2.3,2–2,1.0,Rayo Vallecano,11451.0,Estadi Municipal de Montilivi,Jorge Figueroa,Match Report,
155,15.0,Thu,2022-12-29,19:15,Betis,0.5,0–0,0.4,Athletic Club,53565.0,Estadio Benito Villamarín,Alejandro Hernández,Match Report,
156,15.0,Thu,2022-12-29,21:30,Atlético Madrid,1.7,2–0,0.4,Elche,48119.0,Estadio Cívitas Metropolitano,Guillermo Cuadra,Match Report,
157,15.0,Fri,2022-12-30,17:00,Getafe,1.2,2–0,0.6,Mallorca,9755.0,Coliseum Alfonso Pérez,Alberola Rojas,Match Report,
158,15.0,Fri,2022-12-30,19:15,Cádiz,1.3,1–1,2.3,Almería,17345.0,Estadio Nuevo Mirandilla,Juan Martínez,Match Report,
159,15.0,Fri,2022-12-30,19:15,Celta Vigo,2.0,1–1,0.7,Sevilla,13653.0,Estadio de Balaídos,Ricardo de Burgos,Match Report,
160,15.0,Fri,2022-12-30,21:30,Valladolid,0.6,0–2,2.3,Real Madrid,25950.0,Estadio Municipal José Zorrilla,José Luis Munuera,Match Report,
161,15.0,Sat,2022-12-31,14:00,Barcelona,2.2,1–1,0.9,Espanyol,88095.0,Camp Nou,Antonio Matéu,Match Report,
162,15.0,Sat,2022-12-31,16:15,Real Sociedad,1.4,2–0,0.4,Osasuna,34847.0,Reale Arena,Valentín Pizarro,Match Report,
163,15.0,Sat,2022-12-31,16:15,Villarreal,2.5,2–1,1.4,Valencia,19247.0,Estadio Ciudad de Valencia,José Sánchez,Match Report,
164,,,,,,,,,,,,,,
165,16.0,Fri,2023-01-06,18:30,Elche,1.0,0–1,2.0,Celta Vigo,20121.0,Estadio Manuel Martínez Valero,Miguel Ángel Ortiz Arias,Match Report,
166,16.0,Fri,2023-01-06,21:00,Valencia,0.4,0–1,0.4,Cádiz,39003.0,Estadio de Mestalla,Pablo González,Match Report,
167,16.0,Sat,2023-01-07,16:15,Villarreal,3.0,2–1,2.2,Real Madrid,21088.0,Estadio de la Cerámica,César Soto,Match Report,
168,16.0,Sat,2023-01-07,18:30,Mallorca,1.2,1–0,0.6,Valladolid,14129.0,Iberostar Estadi,Valentín Pizarro,Match Report,
169,16.0,Sat,2023-01-07,21:00,Espanyol,1.5,2–2,1.2,Girona,21429.0,RCDE Stadium,Carlos del Cerro,Match Report,
170,16.0,Sun,2023-01-08,14:00,Almería,0.6,0–2,1.7,Real Sociedad,12020.0,Power Horse Stadium,Alberola Rojas,Match Report,
171,16.0,Sun,2023-01-08,16:15,Rayo Vallecano,1.6,1–2,0.9,Betis,13119.0,Estadio del Rayo Vallecano,Isidro Díaz de Mera,Match Report,
172,16.0,Sun,2023-01-08,18:30,Sevilla,1.2,2–1,0.7,Getafe,35389.0,Estadio Ramón Sánchez Pizjuán,Juan Martínez,Match Report,
173,16.0,Sun,2023-01-08,21:00,Atlético Madrid,1.7,0–1,0.7,Barcelona,63493.0,Estadio Cívitas Metropolitano,José Luis Munuera,Match Report,
174,16.0,Mon,2023-01-09,21:00,Athletic Club,1.0,0–0,0.4,Osasuna,39216.0,San Mamés,Mario Melero,Match Report,
175,,,,,,,,,,,,,,
176,17.0,Fri,2023-01-13,21:00,Celta Vigo,2.1,1–1,0.1,Villarreal,13931.0,Estadio de Balaídos,Alberola Rojas,Match Report,
177,17.0,Sat,2023-01-14,14:00,Valladolid,0.6,0–1,1.1,Rayo Vallecano,19969.0,Estadio Municipal José Zorrilla,Mario Melero,Match Report,
178,17.0,Sat,2023-01-14,16:15,Girona,2.2,2–1,1.1,Sevilla,12035.0,Estadi Municipal de Montilivi,Valentín Pizarro,Match Report,
179,17.0,Sat,2023-01-14,18:30,Osasuna,1.6,1–0,0.5,Mallorca,19887.0,Estadio El Sadar,César Soto,Match Report,
180,17.0,Sat,2023-01-14,21:00,Real Sociedad,2.0,3–1,0.3,Athletic Club,38296.0,Reale Arena,Guillermo Cuadra,Match Report,
181,17.0,Sun,2023-01-15,14:00,Getafe,0.5,1–2,0.8,Espanyol,10286.0,Coliseum Alfonso Pérez,Jorge Figueroa,Match Report,
182,17.0,Sun,2023-01-15,16:15,Almería,1.4,1–1,2.4,Atlético Madrid,14128.0,Power Horse Stadium,José Sánchez,Match Report,
