Address,Price,Til salg,energyL,timeOnMarketB,timeOnMarketA,pay,sqmPr,sqm,floor,rooms,fees,built,renov,floorLvl,garage,toil,varme,oWall,area,roof,roofType,value,lastPrice,Til leje,depo,size,period,from
"https://www.boligsiden.dk/adresse/myggevej-6-9000-aalborg-08515512___6_______?udbud=1ade617e-9374-4bf5-967a-10f2818e6fa9
",1.995.000 kr.," Myggevej 6, Aalborg - Fritidsbolig på 98 m² - Boligsiden",,1,0,100000,20357,1799,,4,1112,1977,2013,1-,,1,varmepumpe,,98,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/gedser-feriepark-38-4874-gedser-03760602__38_______?udbud=150c0658-51b4-477e-8fa5-5dbdad965f0f
",845.000 kr.," Gedser Feriepark 38, Gedser - Ejerlejlighed på 42 m² - Boligsiden",,343,0,45000,20711,,,3,2561,1988,,1-,,1,elvarme,,40.8,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/pilegaardsalle-6-8700-horsens-06156390___6_______?udbud=bc6b3123-e760-41fe-8415-f1b93abe66e4
",1.645.000 kr.," Pilegårdsalle 6, Horsens - Villa på 89 m² - Boligsiden",E,0,0,85000,17407,830,,3,1906,1964,,1-,,1,varmepumpe,,94.5,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/soendre-molevej-10c-1-6-4600-koege-02598185_10c__1___6?udbud=e95bebdf-9d5e-41af-ad54-ee15f14b91c9
",3.295.000 kr.," Søndre Molevej 10C, 1. 6., Køge - Ejerlejlighed på 83 m² - Boligsiden",A2015,0,0,165000,39699,,1,2,4124,2024,,,,,,,,,,,,,,,,
"https://www.boligsiden.dk/adresse/albertslundvej-97-1-mf-2625-vallensbaek-01870106__97__1__mf?udbud=f52acedf-120c-49b7-b7ef-79f7acf515f1
",2.595.000 kr.," Albertslundvej 97, 1. mf., Vallensbæk - Ejerlejlighed på 107 m² - Boligsiden",C,0,0,130000,24252,,1,4,5073,1964,,3-1,,2,fjernvarme/blokvarme,,,,Tagpap med lille hældning,,,,,,,
"https://www.boligsiden.dk/adresse/nordre-digevej-33-2300-koebenhavn-s-01015036__33_______?udbud=a132a789-2926-4dde-aa77-ddad5be17e85
",8.495.000 kr.," Nordre Digevej 33, København S - Villa på 136 m² - Boligsiden",C,0,0,425000,58586,532,,5,4640,1957,1982,1-,,2,fjernvarme/blokvarme,,145,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/kildevaenget-2-5610-assens-04200768___2_______?udbud=19ba0ea7-3ab7-40ca-b99f-b20170313838
",3.395.000 kr.," Kildevænget 2, Assens - Villa på 195 m² - Boligsiden",D,485,0,170000,14435,1410,,8,2460,1930,1942,1-,,2,fjernvarme/blokvarme,,235.2,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/flakkebjerg-stationsvej-24-4200-slagelse-03300417__24_______?udbud=a46f0873-1a60-486c-83c9-183c85c7b42f
",545.000 kr.," Flakkebjerg Stationsvej 24, Flakkebjerg, Slagelse - Villa på 108 m² - Boligsiden",F,0,0,30000,4386,697,,3,1395,1930,,1-,,1,centralvarme med én fyringsenhed,,124.25,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/blaabaerhaven-9-6950-ringkoebing-07600181___9_______?udbud=fe1d2788-6a7a-4bd8-92e4-6fcd2cd8f089
",315.000 kr.," Blåbærhaven 9, Rindum, Ringkøbing - Andelsbolig på 124 m² - Boligsiden",C,0,0,,2425,,,3,7000,2006,,1-,,1,fjernvarme/blokvarme,,129.9,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/johannes-jensens-vej-60-8641-sorring-07400859__60_______?udbud=ddb3bf5a-6ad2-49e6-a8ed-a6dbbab02fbe
",2.298.000 kr.," Johannes Jensens Vej 60, Toustrup, Sorring - Villa på 146 m² - Boligsiden",B,0,0,115000,15128,1339,,4,1655,1930,,1-,,1,varmepumpe,,151.9,,Tagpap med stor hældning,,,,,,,
"https://www.boligsiden.dk/adresse/kullabergvej-10-3050-humlebaek-02100399__10_______?udbud=3d674d15-ebb0-48f1-a8d7-c054403de0a2
",6.250.000 kr.," Kullabergvej 10, Humlebæk - Villa på 118 m² - Boligsiden",D,0,0,315000,46904,1234,,4,4691,1966,,1-,,1,centralvarme med én fyringsenhed,,133.25,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/helenelyst-322-8220-brabrand-07513177_322_______?udbud=3465564a-89de-4f04-8bef-fe964e0515e9
",2.298.000 kr.," Helenelyst 322, Brabrand - Rækkehus på 74 m² - Boligsiden",A2010,0,0,115000,30317,81,,3,1781,2007,,2-,,1,fjernvarme/blokvarme,,75.8,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/skovbrynet-38-6400-soenderborg-05401807__38_______?udbud=2475ee50-ab96-4b0f-8f5e-f2138b86d4f0
",3.295.000 kr.," Skovbrynet 38, Sønderborg - Villa på 177 m² - Boligsiden",E,0,0,165000,17898,959,,5,2652,1971,,1-,,2,fjernvarme/blokvarme,,184.1,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/kloeckersvej-36-2820-gentofte-01570461__36_______?udbud=5bd90b26-9d33-4b6b-a8d2-964c59706d0a
",17.995.000 kr.," Kløckersvej 36, Gentofte - Villa på 190 m² - Boligsiden",E,0,0,900000,77515,1068,,6,9702,1918,,2-,,2,centralvarme med én fyringsenhed,,232.15,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/vinkelager-9-0-tv-2720-vanloese-01018392___9_st__tv?udbud=f611de08-7450-469c-8c69-d9c107be689a
",2.445.000 kr.," Vinkelager 9, st. tv., Vanløse - Ejerlejlighed på 56 m² - Boligsiden",D,0,0,125000,43661,,0,2,3354,1957,,4-0,,1,fjernvarme/blokvarme,,,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/elisabeths-alle-19-5250-odense-sv-04611719__19_______?udbud=d23440e8-5508-4e05-a9cb-3c0261073a16
",3.795.000 kr.," Elisabeths Allé 19, Dalum, Odense SV - Villa på 174 m² - Boligsiden",D,0,0,190000,18020,968,,5,3944,1956,1973,1-,,1,fjernvarme/blokvarme,,210.6,,Tegl,,,,,,,
"https://www.boligsiden.dk/adresse/agerskov-kaadner-1-6534-agerskov-05500025___1_______?udbud=a4570503-ea35-48c4-b6b7-f98a5fad137b
",875.000 kr.," Agerskov Kådner 1, Agerskov - Landejendom på 168 m² - Boligsiden",E,0,0,45000,4717,23759,,6,1623,1936,1978,1-,,1,centralvarme med én fyringsenhed,,185.5,,Fibercement herunder asbest,,,,,,,
